Discoveries	p_values	q_values
3-Phosphoglycerate	0.015496	0.019489
Adenosine	0.015202	0.01995
Alanine	7.50000000000473e-05	0.00026633
Asparagine	1.00000000002876e-06	2.0123e-05
Carnitine	0.017722	0.021834
CDP-choline	0.040158	0.042531
CDP-ethanolamine	0.00903699999999996	0.012687
Citrate	0.017768	0.021452
Creatine phosphate	0.00111000000000006	0.0021616
Cystathionine	3.6000000000036e-05	0.00014488
Cysteine	0.023218	0.026446
Cytidine	1.00000000002876e-06	2.0123e-05
Glucose	9.00000000003676e-06	4.9392e-05
Sedoheptulose-P	0.000147000000000008	0.00040337
Dihydroxyacetone-P	0.000396999999999981	0.00088764
Dimethylglycine	0.00332900000000003	0.0052886
Fructose-6-P	0.00294899999999998	0.0049452
Fumarate	2.99999999999745e-05	0.00012936
Glucose-6-P	0.00274399999999997	0.0047329
Glutamate	0.025567	0.028582
Glutamine	1.99999999994649e-06	1.7248e-05
Glutathione disulfide	0.015447	0.019841
Glycerophosphocholine	0.000931000000000015	0.0018734
Glycine	0.00220100000000001	0.0040264
Glycine betaine	0.00218499999999999	0.004122
Guanidoacetic acid	4.000000000004e-06	3.0184e-05
Guanine	0.00472399999999995	0.00679
Histidine	0.000770000000000048	0.0016029
IMP	0.012629	0.017327
Indole	0.000106999999999968	0.00030759
Kynurenine	6.99999999997925e-06	4.2258e-05
Lactate	2.99999999999745e-05	0.00012936
Leucine & isoleucine	1.99999999994649e-06	1.7248e-05
Lysine	0.02573	0.028241
Malate	0.00331300000000001	0.0054054
Methionine	0.000283000000000033	0.00068337
Methylnicotinamide	0.003552	0.0054982
N-Acetyl-glucosamine-P	2.99999999999745e-05	0.00012936
N-Acetyl-L-alanine	7.90000000000513e-05	0.000251
Nicotinamide	0.0202830000000001	0.024009
Ornithine	1.00000000002876e-06	2.0123e-05
Pantothenate	0.00269799999999998	0.0047904
Phenylalanine	0.000167000000000028	0.00043833
Proline	0.021111	0.024508
Serine	6.99999999997925e-06	4.2258e-05
Glycerol-3-P	0.000607000000000024	0.0013087
Succinate	0.034757	0.037468
Taurine	1.99999999994649e-06	1.7248e-05
Thymine	0.000349000000000044	0.00081033
Sucrose	0.00438899999999998	0.0064623
Tryptophan	5.39999999999985e-05	0.00020374
Tyrosine	0.013235	0.017755
UDP-glucuronate	0.00433899999999998	0.0065484
Uric acid	0.000203999999999982	0.00051313
Valine	1.99999999994649e-06	1.7248e-05
Xanthine	7.5999999999965e-05	0.00025489
Xanthosine	8.09999999999977e-05	0.00024449
